pair_id,agent_id,topic,stage,correct,total,rate_smoothed_basic
phi4_14b__qwen36_27b_standard_v19,phi4_14b__qwen36_27b_standard_v19__B,prealgebra,post_debate,55,66,0.8235294117647058
phi4_14b__qwen36_27b_standard_v19,phi4_14b__qwen36_27b_standard_v19__A,counting_&_probability,independent,11,40,0.2857142857142857
phi4_14b__qwen36_27b_standard_v19,phi4_14b__qwen36_27b_standard_v19__B,counting_&_probability,independent,16,40,0.40476190476190477
phi4_14b__qwen36_27b_standard_v19,phi4_14b__qwen36_27b_standard_v19__A,counting_&_probability,post_debate,26,40,0.6428571428571429
phi4_14b__qwen36_27b_standard_v19,phi4_14b__qwen36_27b_standard_v19__B,counting_&_probability,post_debate,26,40,0.6428571428571429
phi4_14b__qwen36_27b_standard_v19,phi4_14b__qwen36_27b_standard_v19__A,precalculus,independent,6,41,0.16279069767441862
phi4_14b__qwen36_27b_standard_v19,phi4_14b__qwen36_27b_standard_v19__B,precalculus,independent,14,41,0.3488372093023256
phi4_14b__qwen36_27b_standard_v19,phi4_14b__qwen36_27b_standard_v19__A,precalculus,post_debate,16,41,0.3953488372093023
phi4_14b__qwen36_27b_standard_v19,phi4_14b__qwen36_27b_standard_v19__B,precalculus,post_debate,20,41,0.4883720930232558
phi4_14b__qwen36_27b_standard_v19,phi4_14b__qwen36_27b_standard_v19__A,geometry,independent,6,44,0.15217391304347827
phi4_14b__qwen36_27b_standard_v19,phi4_14b__qwen36_27b_standard_v19__B,geometry,independent,15,44,0.34782608695652173
phi4_14b__qwen36_27b_standard_v19,phi4_14b__qwen36_27b_standard_v19__A,geometry,post_debate,23,44,0.5217391304347826
phi4_14b__qwen36_27b_standard_v19,phi4_14b__qwen36_27b_standard_v19__B,geometry,post_debate,22,44,0.5
