pair_id,agent_id,topic,stage,correct,total,rate_smoothed_basic
qwen3_8b__phi4_14b_standard_v16,qwen3_8b__phi4_14b_standard_v16__A,algebra,post_debate,42,94,0.4479166666666667
qwen3_8b__phi4_14b_standard_v16,qwen3_8b__phi4_14b_standard_v16__B,algebra,post_debate,50,94,0.53125
qwen3_8b__phi4_14b_standard_v16,qwen3_8b__phi4_14b_standard_v16__A,prealgebra,independent,24,66,0.36764705882352944
qwen3_8b__phi4_14b_standard_v16,qwen3_8b__phi4_14b_standard_v16__B,prealgebra,independent,29,66,0.4411764705882353
qwen3_8b__phi4_14b_standard_v16,qwen3_8b__phi4_14b_standard_v16__A,prealgebra,post_debate,38,66,0.5735294117647058
qwen3_8b__phi4_14b_standard_v16,qwen3_8b__phi4_14b_standard_v16__B,prealgebra,post_debate,40,66,0.6029411764705882
qwen3_8b__phi4_14b_standard_v16,qwen3_8b__phi4_14b_standard_v16__A,counting_&_probability,independent,7,40,0.19047619047619047
qwen3_8b__phi4_14b_standard_v16,qwen3_8b__phi4_14b_standard_v16__B,counting_&_probability,independent,11,40,0.2857142857142857
qwen3_8b__phi4_14b_standard_v16,qwen3_8b__phi4_14b_standard_v16__A,counting_&_probability,post_debate,14,40,0.35714285714285715
qwen3_8b__phi4_14b_standard_v16,qwen3_8b__phi4_14b_standard_v16__B,counting_&_probability,post_debate,19,40,0.47619047619047616
qwen3_8b__phi4_14b_standard_v16,qwen3_8b__phi4_14b_standard_v16__A,precalculus,independent,6,41,0.16279069767441862
qwen3_8b__phi4_14b_standard_v16,qwen3_8b__phi4_14b_standard_v16__B,precalculus,independent,7,41,0.18604651162790697
qwen3_8b__phi4_14b_standard_v16,qwen3_8b__phi4_14b_standard_v16__A,precalculus,post_debate,10,41,0.2558139534883721
qwen3_8b__phi4_14b_standard_v16,qwen3_8b__phi4_14b_standard_v16__B,precalculus,post_debate,11,41,0.27906976744186046
qwen3_8b__phi4_14b_standard_v16,qwen3_8b__phi4_14b_standard_v16__A,geometry,independent,6,44,0.15217391304347827
qwen3_8b__phi4_14b_standard_v16,qwen3_8b__phi4_14b_standard_v16__B,geometry,independent,6,44,0.15217391304347827
qwen3_8b__phi4_14b_standard_v16,qwen3_8b__phi4_14b_standard_v16__A,geometry,post_debate,13,44,0.30434782608695654
qwen3_8b__phi4_14b_standard_v16,qwen3_8b__phi4_14b_standard_v16__B,geometry,post_debate,13,44,0.30434782608695654
